Id,Tingkatan,Index,Desc
1,2,1,1: PENYELENGGARAAN DAN KESINAMBUNGAN HIDUP
2,2,2,2: PENEROKAAN UNSUR DALAM ALAM
3,2,3,3: TENAGA DAN KELESTARIAN HIDUP
4,2,4,4. PENEROKAAN BUMI DAN ANGKASA LEPAS
5,1,1,1 KAEDAH SAINTIFIK
6,1,2,2 PENYELENGGARAAN DAN KESINAMBUNGAN HIDUP
7,1,3,3 PENEROKAAN UNSUR DALAM ALAM
8,1,4,4 TENAGA DAN KELESTARIAN HIDUP
9,1,5,5 PENEROKAAN BUMI DAN ANGKASA LEPAS
